forecast,realized,date,asset_id,model
0.0,0.011899999999999999,2023-01-10,ME4 BM4,zero
0.0,0.005,2023-01-10,ME4 BM5,zero
0.0,0.0072,2023-01-10,BIG LoBM,zero
0.0,0.0076,2023-01-10,ME5 BM2,zero
0.0,0.0083,2023-01-10,ME5 BM3,zero
0.0,0.006500000000000001,2023-01-10,ME5 BM4,zero
0.0,0.0045000000000000005,2023-01-10,BIG HiBM,zero
0.0,0.017,2023-01-11,SMALL LoBM,zero
0.0,0.0154,2023-01-11,ME1 BM2,zero
0.0,0.011000000000000001,2023-01-11,ME1 BM3,zero
0.0,0.003,2023-01-11,ME1 BM4,zero
0.0,0.0075,2023-01-11,SMALL HiBM,zero
0.0,0.0161,2023-01-11,ME2 BM1,zero
0.0,0.0118,2023-01-11,ME2 BM2,zero
0.0,0.0173,2023-01-11,ME2 BM3,zero
0.0,0.0051,2023-01-11,ME2 BM4,zero
0.0,0.0076,2023-01-11,ME2 BM5,zero
0.0,0.0175,2023-01-11,ME3 BM1,zero
0.0,0.014199999999999999,2023-01-11,ME3 BM2,zero
0.0,0.012,2023-01-11,ME3 BM3,zero
0.0,0.0106,2023-01-11,ME3 BM4,zero
0.0,0.0083,2023-01-11,ME3 BM5,zero
0.0,0.016399999999999998,2023-01-11,ME4 BM1,zero
0.0,0.012,2023-01-11,ME4 BM2,zero
0.0,0.0091,2023-01-11,ME4 BM3,zero
0.0,0.012199999999999999,2023-01-11,ME4 BM4,zero
0.0,0.0084,2023-01-11,ME4 BM5,zero
0.0,0.018799999999999997,2023-01-11,BIG LoBM,zero
0.0,0.0074,2023-01-11,ME5 BM2,zero
0.0,0.004699999999999999,2023-01-11,ME5 BM3,zero
0.0,0.0054,2023-01-11,ME5 BM4,zero
0.0,0.0079,2023-01-11,BIG HiBM,zero
0.0,0.0246,2023-01-12,SMALL LoBM,zero
0.0,0.0245,2023-01-12,ME1 BM2,zero
0.0,0.031200000000000002,2023-01-12,ME1 BM3,zero
0.0,0.0223,2023-01-12,ME1 BM4,zero
0.0,0.018600000000000002,2023-01-12,SMALL HiBM,zero
0.0,0.023399999999999997,2023-01-12,ME2 BM1,zero
0.0,0.0242,2023-01-12,ME2 BM2,zero
0.0,0.0166,2023-01-12,ME2 BM3,zero
0.0,0.0181,2023-01-12,ME2 BM4,zero
0.0,0.0147,2023-01-12,ME2 BM5,zero
0.0,0.0121,2023-01-12,ME3 BM1,zero
0.0,0.015700000000000002,2023-01-12,ME3 BM2,zero
0.0,0.0091,2023-01-12,ME3 BM3,zero
0.0,0.0109,2023-01-12,ME3 BM4,zero
0.0,0.014199999999999999,2023-01-12,ME3 BM5,zero
0.0,0.0015,2023-01-12,ME4 BM1,zero
0.0,0.0073,2023-01-12,ME4 BM2,zero
0.0,0.009300000000000001,2023-01-12,ME4 BM3,zero
0.0,0.0096,2023-01-12,ME4 BM4,zero
0.0,0.0070999999999999995,2023-01-12,ME4 BM5,zero
0.0,0.0028000000000000004,2023-01-12,BIG LoBM,zero
0.0,0.0024,2023-01-12,ME5 BM2,zero
0.0,0.0072,2023-01-12,ME5 BM3,zero
0.0,0.0068000000000000005,2023-01-12,ME5 BM4,zero
0.0,0.0012,2023-01-12,BIG HiBM,zero
0.0,0.015300000000000001,2023-01-13,SMALL LoBM,zero
0.0,0.0076,2023-01-13,ME1 BM2,zero
0.0,0.012199999999999999,2023-01-13,ME1 BM3,zero
0.0,0.008,2023-01-13,ME1 BM4,zero
0.0,0.0052,2023-01-13,SMALL HiBM,zero
0.0,0.0134,2023-01-13,ME2 BM1,zero
0.0,0.0087,2023-01-13,ME2 BM2,zero
0.0,0.0058,2023-01-13,ME2 BM3,zero
0.0,0.0034999999999999996,2023-01-13,ME2 BM4,zero
0.0,0.005,2023-01-13,ME2 BM5,zero
0.0,0.0064,2023-01-13,ME3 BM1,zero
0.0,0.01,2023-01-13,ME3 BM2,zero
0.0,0.006999999999999999,2023-01-13,ME3 BM3,zero
0.0,0.0022,2023-01-13,ME3 BM4,zero
0.0,0.0012,2023-01-13,ME3 BM5,zero
0.0,0.008100000000000001,2023-01-13,ME4 BM1,zero
0.0,0.0044,2023-01-13,ME4 BM2,zero
0.0,0.0037,2023-01-13,ME4 BM3,zero
0.0,0.0015,2023-01-13,ME4 BM4,zero
0.0,-0.0004,2023-01-13,ME4 BM5,zero
0.0,0.006999999999999999,2023-01-13,BIG LoBM,zero
0.0,0.0008,2023-01-13,ME5 BM2,zero
0.0,-0.0004,2023-01-13,ME5 BM3,zero
0.0,0.0033,2023-01-13,ME5 BM4,zero
0.0,0.0055000000000000005,2023-01-13,BIG HiBM,zero
0.0,-0.0058,2023-01-17,SMALL LoBM,zero
0.0,0.0011,2023-01-17,ME1 BM2,zero
0.0,-0.0015,2023-01-17,ME1 BM3,zero
0.0,-0.0005,2023-01-17,ME1 BM4,zero
0.0,-0.0004,2023-01-17,SMALL HiBM,zero
0.0,0.0031,2023-01-17,ME2 BM1,zero
0.0,0.004,2023-01-17,ME2 BM2,zero
0.0,-0.0052,2023-01-17,ME2 BM3,zero
0.0,-0.0038,2023-01-17,ME2 BM4,zero
0.0,-0.004699999999999999,2023-01-17,ME2 BM5,zero
0.0,0.0004,2023-01-17,ME3 BM1,zero
0.0,-0.0003,2023-01-17,ME3 BM2,zero
0.0,-0.0029,2023-01-17,ME3 BM3,zero
0.0,-0.006,2023-01-17,ME3 BM4,zero
0.0,-0.0036,2023-01-17,ME3 BM5,zero
0.0,0.0032,2023-01-17,ME4 BM1,zero
0.0,-0.0026,2023-01-17,ME4 BM2,zero
0.0,-0.0039000000000000003,2023-01-17,ME4 BM3,zero
0.0,-0.005600000000000001,2023-01-17,ME4 BM4,zero
0.0,-0.0034000000000000002,2023-01-17,ME4 BM5,zero
0.0,0.0017000000000000001,2023-01-17,BIG LoBM,zero
0.0,-0.0068000000000000005,2023-01-17,ME5 BM2,zero
0.0,-0.0048,2023-01-17,ME5 BM3,zero
0.0,-0.0018,2023-01-17,ME5 BM4,zero
0.0,-0.009000000000000001,2023-01-17,BIG HiBM,zero
0.0,-0.0245,2023-01-18,SMALL LoBM,zero
0.0,-0.0151,2023-01-18,ME1 BM2,zero
0.0,-0.021099999999999997,2023-01-18,ME1 BM3,zero
0.0,-0.024900000000000002,2023-01-18,ME1 BM4,zero
0.0,-0.0183,2023-01-18,SMALL HiBM,zero
0.0,-0.0132,2023-01-18,ME2 BM1,zero
0.0,-0.0121,2023-01-18,ME2 BM2,zero
0.0,-0.014499999999999999,2023-01-18,ME2 BM3,zero
0.0,-0.0175,2023-01-18,ME2 BM4,zero
0.0,-0.021400000000000002,2023-01-18,ME2 BM5,zero
0.0,-0.0078000000000000005,2023-01-18,ME3 BM1,zero
0.0,-0.0103,2023-01-18,ME3 BM2,zero
